"Origin","Dest","2010","2011","2012","2013","2014","five_year_avg","state_rank","growth_rate","share","lq"
282,52,262807368,176949968,336114949,283171487,184523050,248713364.4,75,-6.83,0.07,1.18
266,52,365080,2912871,821519,109421,466400,935058.2,102,5.02,0.01,0.12
283,52,705700,5958226,1463973,3918309,320937,2473429,130,-14.58,0,0.05
253,52,1170642,1701173,1468392,1408595,1019021,1353564.6,103,-2.74,0.01,0.16
273,52,30721907,11654040,10141592,6179174,5826809,12904704.4,94,-28.29,0.02,0.31
259,52,34657752,23210417,7484676,16952398,3336386,17128325.8,92,-37.38,0.01,0.23
263,52,11412536,12204765,2087270,3493649,1740923,6187828.6,98,-31.34,0.02,0.3
272,52,1548913,3112836,27551,0,418167,1021493.4,83,-23.04,0.04,0.6
112,52,53215204,22809721,39822552,58842833,44241412,43786344.4,82,-3.63,0.13,2.21
239,52,79091696,56998838,23647948,19408111,29945205,41818359.6,50,-17.65,0.2,3.24
274,52,5399008,42041687,19595148,5692896,596185,14664984.8,109,-35.64,0.01,0.22
251,52,46328189,73225700,17753943,7169260,9054289,30706276.2,104,-27.86,0.02,0.32
287,52,9163399,17473202,16552795,21030214,9605657,14765053.4,79,0.95,0.01,0.19
260,52,8777857,58783996,6072171,1385779,1440251,15292010.8,119,-30.34,0,0.08
250,52,198461,869003,337742,405333,61053,374318.4,119,-21,0,0.03
249,52,25709,1078791,0,90246,11262,241201.6,84,-15.22,0,0.01
268,52,44792237,40258976,14399251,11634565,8706180,23958241.8,106,-27.93,0.03,0.48
258,52,70248590,80854958,89382984,87541123,40491617,73703854.4,42,-10.43,0.39,6.43
267,52,42619580,62150490,32697829,14445887,1620555,30706868.2,71,-48,0.04,0.73
242,52,350649,1123129,1631043,2245112,30346,1076055.8,148,-38.7,0,0.01
280,52,435244,236540,96638,19294,224381,202419.4,84,-12.41,0.03,0.42
246,52,12839023,3625366,1034176,1235853,638690,3874621.6,89,-45.13,0.01,0.23
243,52,75651325,62192715,59998428,59375601,70681904,65579994.6,79,-1.35,0.05,0.75
252,52,195912108,828223301,9442776,20694214,9213139,212697107.6,72,-45.74,0.04,0.65
278,52,312378,422198,276715,55472,1061654,425683.4,73,27.72,0.06,0.92
261,52,10192201,4684352,13435331,12613136,549612,8294926.4,140,-44.24,0,0.06
