Code,Name,Lat,Lon
3,China,35.86166,104.195397
4,Mexico,23.634501,-102.552784
5,Germany,51.165691,10.451526
6,United Kingdom,55.378051,-3.435973
7,South Korea,35.907757,127.766922
8,Japan,36.204824,138.252924
9,Brazil,-14.235004,-51.92528
10,France,46.227638,2.213749
11,Australia,-25.274398,133.775136
12,Belgium,50.503887,4.469936
13,India,20.593684,78.96288
14,United Arab Emirates,23.424076,53.847818
15,Colombia,4.570868,-74.297333
16,South Africa,-30.559482,22.937506
17,Turkey,38.963745,35.243322
18,Honduras,15.199999,-86.241905
19,Hong Kong,22.396428,114.109497
20,Italy,41.87194,12.56738
21,Thailand,15.870032,100.992541
22,Russian Federation,61.52401,105.318756
23,Singapore,1.352083,103.819836
24,Saudi Arabia,23.885942,45.079162
25,Taiwan,23.69781,120.960515
26,Netherlands,52.132633,5.291266
27,Dominican Republic,18.735693,-70.162651
28,Chile,-35.675147,-71.542969
29,Venezuela,6.42375,-66.58973
30,Argentina,-38.416097,-63.616672
31,Malaysia,4.210484,101.975766
32,Spain,40.463667,-3.74922
33,Austria,47.516231,14.550072
34,Peru,-9.189967,-75.015152
35,Guatemala,15.783471,-90.230759
36,Indonesia,-0.789275,113.921327
37,Israel,31.046051,34.851612
38,Iraq,33.223191,43.679291
39,Costa Rica,9.748917,-83.753428
40,Viet Nam,14.058324,108.277199
41,Ukraine,48.379433,31.16558
42,Switzerland,46.818188,8.227512
43,Sweden,60.128161,18.643501
44,New Zealand,-40.900557,174.885971
45,Kuwait,29.31166,47.481766
46,Poland,51.919438,19.145136
47,Cuba,21.521757,-77.781167
48,Slovakia,48.669026,19.699024
49,Jordan,30.585164,36.238414
50,Angola,-11.202692,17.873887
51,Croatia,45.1,15.2
52,Afghanistan,33.93911,67.709953
53,Panama,8.537981,-80.782127
54,Jamaica,18.109581,-77.297508
55,Nigeria,9.081999,8.675277
56,Ecuador,-1.831239,-78.183406
57,Ireland,53.41291,-8.24389
58,Czech Republic,49.817492,15.472962
59,Qatar,25.354826,51.183884
60,Finland,61.92411,25.748151
61,Pakistan,30.375321,69.345116
62,Egypt,26.820553,30.802498
63,Philippines,12.879721,121.774017
64,Trinidad and Tobago,10.691803,-61.222503
65,Denmark,56.26392,9.501785
66,Haiti,18.971187,-72.285215
67,Morocco,31.791702,-7.09262
68,Kazakhstan,48.019573,66.923684
69,Libyan Arab Jamahiriya,26.3351,17.228331
70,El Salvador,13.794185,-88.89653
71,Lebanon,33.854721,35.862285
72,Liberia,6.428055,-9.429499
73,Algeria,28.033886,1.659626
74,Paraguay,-23.442503,-58.443832
75,Benin,9.30769,2.315834
76,Hungary,47.162494,19.503304
77,Iran,32.427908,53.688046
78,Belize,17.189877,-88.49765
79,Barbados,13.193887,-59.543198
80,Oman,21.512583,55.923255
81,Norway,60.472024,8.468946
82,Bahrain,26.0667,50.5577
83,Uruguay,-32.522779,-55.765835
84,Romania,45.943161,24.96676
85,Greece,39.074208,21.824312
86,Bahamas,25.03428,-77.39628
87,Ghana,7.946527,-1.023194
88,Latvia,56.879635,24.603189
89,Cyprus,35.126413,33.429859
90,Mauritania,21.00789,-10.940835
91,Saint Lucia,13.909444,-60.978893
92,Antigua and Barbuda,17.060816,-61.796428
93,Tunisia,33.886917,9.537499
94,Saint Vincent and the Grenadines,13.2528179,-61.1971628
95,Gabon,-0.803689,11.609444
96,Luxembourg,49.815273,6.129583
97,Nicaragua,12.865416,-85.207229
98,Mongolia,46.862496,103.846656
99,Portugal,39.399872,-8.224454
100,Bangladesh,23.684994,90.356331
101,Niger,17.607789,8.081666
102,Bermuda,32.3078,-64.7505
103,Guadeloupe,16.265,-61.551
104,Grenada,12.1165,-61.679
105,Democratic Republic of Congo,-4.038333,21.758664
106,Lithuania,55.169438,23.881275
107,Zambia,-13.133897,27.849332
108,Cayman Islands,19.3133,-81.2546
109,Estonia,58.595272,25.013607
110,Martinique,14.641528,-61.024174
111,Tajikistan,38.861034,71.276093
112,Georgia,32.1656221,-82.9000751
113,Bolivia,-16.290154,-63.588653
114,Azerbaijan,40.143105,47.576927
115,Suriname,3.919305,-56.027783
116,Cambodia,12.565679,104.990963
117,Dominica,15.414999,-61.370976
118,Congo,-0.228021,15.827659
119,Guyana,4.860416,-58.93018
120,Aruba,12.52111,-69.968338
121,Bulgaria,42.733883,25.48583
122,Curacao,12.16957,-68.99002
123,Serbia,44.016521,21.005859
124,Sierra Leone,8.460555,-11.779889
125,Armenia,40.069099,45.038189
126,Turkmenistan,38.969719,59.556278
127,Gambia,13.443182,-15.310139
128,French Guiana,3.933889,-53.125782
129,Brunei,4.535277,114.727669
130,Togo,8.619543,0.824782
131,Tanzania; United Republic of,-34.9478961,138.5812844
132,Moldova; Republic of,47.0240102,28.8313156
133,Albania,41.153332,20.168331
134,Sint Maarten,18.04248,-63.05483
